epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1445.23,1.17551,0.6009,1.09019,0.96132,0.62401,0.65698,0.44702,1.11112,0.49864,1.07133,0.000848969,0.000848969,0.000848969
43,1481.32,1.11207,0.56871,1.0833,0.96229,0.62318,0.65751,0.44838,1.11204,0.49331,1.07192,0.000834822,0.000834822,0.000834822
44,1515.28,1.12395,0.59396,1.09166,0.96194,0.62275,0.65614,0.4475,1.11728,0.49905,1.07764,0.000820675,0.000820675,0.000820675
45,1549.1,1.11718,0.57676,1.08129,0.96187,0.62437,0.65542,0.44846,1.10735,0.49193,1.07208,0.000806528,0.000806528,0.000806528
46,1582.87,1.12448,0.58757,1.08877,0.96172,0.62622,0.65807,0.44785,1.11209,0.49252,1.06764,0.00079238,0.00079238,0.00079238
47,1617.15,1.09852,0.5819,1.08465,0.96577,0.62403,0.65868,0.4494,1.10907,0.49317,1.06964,0.000778233,0.000778233,0.000778233
48,1653.05,1.1127,0.56598,1.07362,0.96397,0.62569,0.65733,0.44951,1.10986,0.49134,1.06828,0.000764086,0.000764086,0.000764086
49,1690.73,1.13221,0.60233,1.07741,0.96129,0.62749,0.65631,0.45015,1.10414,0.48626,1.07097,0.000749939,0.000749939,0.000749939
50,1725.03,1.10919,0.598,1.08053,0.96099,0.62576,0.6562,0.45027,1.10853,0.49059,1.06966,0.000735792,0.000735792,0.000735792
51,1759.04,1.11178,0.59227,1.0764,0.96408,0.62385,0.65657,0.45041,1.10253,0.48821,1.06686,0.000721645,0.000721645,0.000721645
52,1793.68,1.08431,0.57486,1.07556,0.9641,0.62212,0.65616,0.44797,1.10886,0.49155,1.07118,0.000707498,0.000707498,0.000707498
53,1827.47,1.08231,0.53639,1.06859,0.96329,0.62748,0.65656,0.44929,1.1042,0.48528,1.06525,0.000693351,0.000693351,0.000693351
